SampleID,Country,Latitude,Longitude,pc1,pc2,pc3
SAMP2446,Puerto Rico (USA),18.386138888888887,-66.21600000000001,2.340516802,3.236741065,2.37271875
SAMP2448,Puerto Rico (USA),18.386138888888887,-66.21600000000001,3.347279365,2.822583274,2.027534428
SAMP2449,Puerto Rico (USA),18.386138888888887,-66.21600000000001,2.855062914,3.303245698,1.924893486
SAMP245,Zambia,-17.47453611111111,24.286675000000002,-7.251945259,-1.549669795,-2.206671311
SAMP2450,Puerto Rico (USA),18.386138888888887,-66.21600000000001,3.359036802,2.405358761,2.167636953
SAMP2451,Puerto Rico (USA),18.386138888888887,-66.21600000000001,3.088489114,3.462207353,1.737937295
SAMP2453,Puerto Rico (USA),18.301083333333334,-67.1833888888889,2.10732901,2.936948911,2.112295442
SAMP2455,Puerto Rico (USA),18.301083333333334,-67.1833888888889,4.071708793,3.162318643,3.236068657
SAMP2456,Puerto Rico (USA),18.301083333333334,-67.1833888888889,3.072075825,3.339310279,2.431477407
SAMP2458,Puerto Rico (USA),17.978694444444443,-66.3758611111111,2.705712202,2.569359226,0.53135602
SAMP2460,Puerto Rico (USA),17.978694444444443,-66.3758611111111,3.260333934,2.475801167,3.184997794
SAMP2461,Puerto Rico (USA),17.978694444444443,-66.3758611111111,1.789888992,2.899906242,1.934971424
SAMP2462,Puerto Rico (USA),17.978694444444443,-66.3758611111111,3.651890521,2.155423959,1.867179318
SAMP2463,Puerto Rico (USA),17.978694444444443,-66.3758611111111,3.595919567,3.251263351,1.129190378
SAMP2464,Puerto Rico (USA),17.978694444444443,-66.3758611111111,2.651821251,3.793101959,1.498980975
SAMP2466,Puerto Rico (USA),18.306166666666666,-67.16072222222223,1.508246386,2.739112685,2.914330636
SAMP2468,Puerto Rico (USA),18.306166666666666,-67.16072222222223,2.327904056,2.301733342,1.797322913
SAMP2469,Puerto Rico (USA),18.306166666666666,-67.16072222222223,2.475811068,3.549013483,0.464860039
SAMP247,Zambia,-17.47453611111111,24.286675000000002,-7.476800242,-0.742551328,-1.737789501
SAMP2470,Puerto Rico (USA),18.306166666666666,-67.16072222222223,1.621437707,2.964423588,3.99991646
SAMP2471,Puerto Rico (USA),18.306166666666666,-67.16072222222223,1.315926237,2.434096989,0.991057968
SAMP2473,Puerto Rico (USA),18.227416666666667,-66.2021388888889,1.706894286,3.793140924,2.829294169
SAMP2475,Puerto Rico (USA),18.227416666666667,-66.2021388888889,2.483135198,2.344675353,2.583385008
SAMP2476,Puerto Rico (USA),18.227416666666667,-66.2021388888889,2.821165648,3.341956947,1.371052536
SAMP2477,Puerto Rico (USA),18.227416666666667,-66.2021388888889,3.153282437,2.417073405,1.321306145
SAMP2480,Puerto Rico (USA),18.049000000000003,-66.62299999999999,1.855261071,3.855834764,0.106228575
SAMP2482,Puerto Rico (USA),18.03211111111111,-66.37869444444443,4.141990789,3.928289713,0.402632199
SAMP2484,Puerto Rico (USA),18.004722222222224,-66.26147222222222,1.861835574,3.075171477,2.177192155
SAMP2486,Puerto Rico (USA),18.05063888888889,-66.49922222222223,3.012009159,1.047029273,1.499728026
SAMP2487,Puerto Rico (USA),18.019333333333332,-66.62388888888889,1.780064219,2.960085771,-0.854090997
SAMP2488,Puerto Rico (USA),18.110500000000002,-66.1658888888889,3.673476787,3.117428163,1.679035266
SAMP2489,Puerto Rico (USA),18.37938888888889,-67.18447222222223,2.513968217,4.25879862,1.92770153
SAMP2490,Puerto Rico (USA),18.330194444444444,-66.29630555555555,2.850464988,2.164907431,2.052640585
SAMP2492,Puerto Rico (USA),18.378722222222223,-67.18916666666667,1.26562928,1.952305496,1.415380617
SAMP2494,Puerto Rico (USA),18.382,-67.18905555555556,2.090287646,4.834428215,1.523546196
SAMP2495,Puerto Rico (USA),18.219055555555553,-67.14469444444445,1.598626878,3.81528341,2.458846811
SAMP2496,Puerto Rico (USA),17.988694444444445,-66.08688888888888,2.477584713,2.365190412,1.437647099
