SampleID,Country,Latitude,Longitude,pc1,pc2,pc3
SAMP421,Italy,"37°56'12.1""N","13°47'20.0""E",10.47576536,3.620840446,-5.072171423
SAMP422,Italy,"37°56'12.1""N","13°47'20.0""E",5.566656674,1.759467201,-3.87209311
SAMP423,Italy,"37°56'12.1""N","13°47'20.0""E",4.908752553,1.18878101,-4.03529072
SAMP428,Italy,"37°57'12.6""N","13°46'25.1""E",9.65854739,3.469661296,-4.308000787
SAMP429,Italy,"37°57'12.6""N","13°46'25.1""E",9.619846084,3.434257701,-5.145611227
SAMP431,Portugal,40.0°9.00'48.40''N,7.0°9.00'43.34''W,0.838460923,3.276367112,10.65676314
SAMP432,Portugal,"40°09'48.40""N","7°09'43.34""W",0.724687653,3.552728375,10.01739194
SAMP433,Portugal,"40°09'48.40""N","7°09'43.34""W",0.573370468,3.304576915,10.39753738
SAMP434,Portugal,"40°09'48.40""N","7°09'43.34""W",1.015042262,3.158758477,10.60474589
SAMP436,Portugal,"39°49'30.73""N","7°27'42.38""W",0.642805004,3.329998102,10.70116874
SAMP437,Portugal,"39°49'30.73""N","7°27'42.38""W",0.38012742,3.434905527,10.54960703
SAMP438,Portugal,"39°49'30.73""N","7°27'42.38""W",0.416933997,3.416164208,10.69556755
SAMP439,Portugal,39.0°49.00'30.73''N,7.0°27.00'42.38''E,1.050136547,3.35433775,10.65240362
SAMP442,South Africa,33°58'15''S,18°54'30''E,-7.468497825,-1.313200539,-1.604491728
SAMP446,South Africa,33°58'15''S,18°54'30''E,-7.463997039,-1.566923864,-1.966007639
SAMP45,Kenya,"3°32'51.81""N","39°25'40.04""E",-7.877645763,-0.77168965,-1.400448285
SAMP451,South Africa,33°58'15''S,18°54'30''E,-7.640849604,-1.701781274,-2.206733596
SAMP455,South Africa,33°58'15''S,18°54'30''E,-7.691438832,-1.064688788,-2.641284244
SAMP46,Kenya,"3°32'51.81""N","39°25'40.04""E",-8.009686443,-0.584215134,-1.290818902
SAMP47,Kenya,0°34'10.70''N,34°22'54.61''E,-7.727614515,-0.787779635,-2.079428876
SAMP48,Kenya,0.0°34.00'10.70''N,34.0°22.00'54.61''E,-7.700647804,-0.658426992,-1.65039888
SAMP49,Kenya,"0°34'10.70""N","34°22'54.61""E",-8.101523227,-1.068612393,-1.729678607
SAMP5,Kenya,"0°09'09.22""N","34°51'20.48""E",-6.895146428,-1.533257893,-1.915948728
SAMP50,Kenya,"0°34'10.70""N","34°22'54.61""E",-7.35737898,-0.879397892,-1.839440069
SAMP51,Kenya,0°07'47.31''N,37°20'04.46''E,-7.898097169,-0.394681713,-0.738066565
SAMP52,Kenya,"0°07'47.31""N","37°20'04.46""E",-7.093744128,-0.993777173,-1.652276447
SAMP53,Kenya,0°06'06.94''N,37°10'14.79''E,-7.140143374,-1.066108446,-0.628553517
SAMP538,South Africa,32°45'15''S,18°19'30''E,-7.774703775,-1.505956744,-2.124091777
SAMP54,Kenya,"0°06'06.94""N","37°10'14.79""E",-7.767342072,-0.688475311,-1.638350446
SAMP541,South Africa,32°45'15''S,18°19'30''E,-8.233765049,-0.788901841,-1.295305969
SAMP546,South Africa,32°45'15''S,18°19'30''E,-7.574412066,-1.108934629,-2.368404415
SAMP55,Kenya,0°02'33.59''N,37°16'39.17''E,-7.568465558,-1.023370614,-1.565927789
SAMP552,South Africa,32°45'15''S,18°19'30''E,-7.256118347,-1.284673296,-1.691463058
SAMP56,Kenya,"0°02'33.59""N","37°16'39.17""E",-8.048652704,-1.041485728,-1.480175307
SAMP567,South Africa,25°46'15''S,31°05'00''E,-8.363678798,-0.556834769,-1.647168262
SAMP57,Kenya,0°27'41.39''N,38°05'05.93''E,-8.932827542,-1.098351635,-1.962939924
SAMP572,South Africa,25°46'15''S,31°05'00''E,-7.738421159,-1.282622793,-2.101395619
SAMP576,South Africa,25°46'15''S,31°05'00''E,-7.708561721,-0.907496355,-2.170902684
SAMP577,South Africa,25°46'15''S,31°05'00''E,-8.08261662,-0.96499911,-2.374529451
SAMP58,Kenya,"0°27'41.39""N","38°05'05.93""E",-8.601016202,-0.473148215,-1.283239408
SAMP582,South Africa,26°48'00''S,25°12'30''E,-7.513910624,-1.064503925,-2.422963094
SAMP585,South Africa,26°48'00''S,25°12'30''E,-7.958406008,-0.947826968,-1.550947574
SAMP589,South Africa,26°48'00''S,25°12'30''E,-8.43677456,-1.297188854,-1.558710421
SAMP59,Kenya,0°00'01.86''N,37°19'45.37''E,-6.594311908,-1.612506242,-0.851682988
SAMP595,South Africa,26°48'00''S,25°12'30''E,-7.617030271,-0.972844016,-1.477249465
SAMP6,Kenya,"0°09'09.22""N","34°51'20.48""E",-6.915676166,-1.097094971,-1.076144835
SAMP60,Kenya,"0°00'01.86""N","37°19'45.37""E",-7.552546101,-0.73322839,-1.401926918
SAMP61,Kenya,0°00'32.05''N,37°20'55.25''E,-7.180243446,0.371894262,-1.574227322
SAMP618,South Africa,33°00'45''S,18°13'45''E,-7.375723361,-0.770425291,-1.840189686
SAMP62,Kenya,"0°00'32.05""N","37°20'55.25""E",-7.626805703,-0.056125752,-1.19895545
SAMP623,South Africa,33°00'45''S,18°13'45''E,-7.356031224,-0.137774354,-2.225193495
SAMP625,South Africa,33°00'45''S,18°13'45''E,-7.084343197,-1.602974582,-2.023957824
SAMP628,South Africa,33°00'45''S,18°13'45''E,-7.546189747,-1.411341549,-1.96936442
SAMP63,Kenya,"1°08'00.0""S","37°41'00.0""E",-7.980949511,-1.122798178,-1.814760997
SAMP64,Kenya,"1°08'00.0""S","37°41'00.0""E",-7.915260145,-0.564599697,-1.871567032
SAMP642,South Africa,34°25'30''S,"18°27'15""E",-7.958783259,-0.562742922,-1.813199424
SAMP643,South Africa,34°25'30''S,"18°27'15""E",-8.225350676,-1.523039054,-1.855779306
SAMP644,South Africa,34°25'30''S,"18°27'15""E",-7.918738171,-1.600794265,-1.88411362
SAMP645,South Africa,34°25'30''S,"18°27'15""E",-8.257608711,-1.499550107,-1.991060415
SAMP646,South Africa,34°25'30''S,"18°27'15""E",-7.984803702,-0.996963687,-2.293968671
SAMP647,South Africa,34°25'30''S,"18°27'15""E",-8.154489505,-1.141621918,-1.46576387
SAMP648,South Africa,34°25'30''S,"18°27'15""E",-7.654839611,-0.758125093,-2.066002632
SAMP649,South Africa,34°25'30''S,"18°27'15""E",-7.826417662,-0.719863715,-1.68991321
SAMP65,Seychelles,"4°44'17.2""S","55°29'38.2""E",0.667769046,1.901733305,-2.711829001
SAMP657,South Africa,33°52'45''S,18°26'00''E,-8.146277385,-1.382953971,-1.282013484
SAMP659,South Africa,33°52'45''S,18°26'00''E,-7.91706155,-1.704840123,-1.989732066
SAMP66,Seychelles,"4°44'17.2""S","55°29'38.2""E",-1.208021901,2.080808328,-2.876419325
SAMP661,South Africa,33°52'45''S,18°26'00''E,-7.194383954,-1.850026018,-2.042548189
SAMP663,South Africa,33°52'45''S,18°26'00''E,-7.885443128,-1.275978846,-2.170078731
SAMP67,Seychelles,"4°36'13.3""S","55°27'33.0""E",-2.143548263,1.683373572,-2.460502305
SAMP68,Seychelles,"4°36'13.3""S","55°27'33.0""E",-2.307597437,1.804164719,-2.9676177
SAMP680,South Africa,25°03'30''S,31°02'45''E,-7.681425734,-0.115433805,-1.01479549
SAMP685,South Africa,25°03'30''S,31°02'45''E,-7.859833257,-1.614836459,-1.529008223
SAMP69,Seychelles,"21°11'19.21""S","47°09'25.58""E",-1.502797773,1.81854521,-3.807799428
SAMP691,South Africa,25°03'30''S,31°02'45''E,-7.319411943,-0.327754512,-1.779474582
SAMP695,South Africa,25°03'30''S,31°02'45''E,-7.544986284,-1.17974539,-1.700159544
SAMP7,Kenya,0°15'27.88''N,34°45'03.98''E,-7.533769224,-1.879119298,-1.451864132
SAMP70,Seychelles,"4°43'02.2""S","55°31'11.6""E",-1.874910813,1.031971989,-3.576727482
SAMP700,South Africa,24°31'15''S,23°52'45''E,-7.921894899,-1.289214158,-2.20229572
SAMP702,South Africa,24°31'15''S,23°52'45''E,-7.244262656,-0.970250727,-1.95534255
SAMP705,South Africa,24°31'15''S,23°52'45''E,-8.164031952,-1.60952986,-2.252237723
SAMP709,South Africa,24°31'15''S,23°52'45''E,-7.964093084,-0.675419025,-1.867864571
SAMP72,Seychelles,"4°36'36.1""S","55°26'05.0""E",-1.62239282,0.721191965,-3.026042732
SAMP726,South Africa,"28°26'30""S","26°44'00""E",-7.82761204,-1.008584519,-2.354868307
SAMP727,South Africa,"28°26'30""S","26°44'00""E",-7.071971024,-0.981398786,-1.010748291
SAMP728,South Africa,"28°26'30""S","26°44'00""E",-7.816013307,-0.463467872,-1.656995294
SAMP729,South Africa,"28°26'30""S","26°44'00""E",-7.723903917,-1.784248067,-1.307627563
SAMP73,Seychelles,"4°37'01.7""S","55°25'14.4""E",-1.4550889,1.608003229,-3.180523818
SAMP730,South Africa,"28°26'30""S","26°44'00""E",-8.112253696,-0.697010151,-2.093125955
SAMP731,South Africa,"28°26'30""S","26°44'00""E",-7.974464837,-1.424835304,-1.941838458
SAMP732,South Africa,"28°26'30""S","26°44'00""E",-7.292489523,-0.473253568,-2.448769134
SAMP733,South Africa,"28°26'30""S","26°44'00""E",-7.299115265,-0.737005236,-1.618034028
SAMP74,Seychelles,"4°37'01.7""S","55°25'14.4""E",-2.154251618,0.839611556,-1.980072256
SAMP75,Seychelles,"4°19'39.2""S","55°43'00.3""E",-2.308075378,0.937156124,-1.92223325
SAMP757,South Africa,28°48'45''S,26°04'15''E,-7.028873391,-2.049291793,-1.821437972
SAMP759,South Africa,28°48'45''S,26°04'15''E,-8.019102473,-1.125345001,-1.518981804
SAMP76,Seychelles,"4°19'39.2""S","55°43'00.3""E",-1.841361127,0.812458303,-2.291976654
SAMP77,Seychelles,"4°19'16.3""S","55°45'01.6""E",-1.784979916,0.669770822,-1.828901859
SAMP776,South Africa,28°48'45''S,26°04'15''E,-7.784760074,-0.566890421,-1.497680274
SAMP78,Seychelles,"4°19'16.3""S","55°45'01.6""E",-2.801141439,1.210677171,-3.586293818
SAMP781,South Africa,28°48'45''S,26°04'15''E,-8.203700337,-0.99987585,-2.138225555
SAMP785,Mexico,"19°10'30.01""N","100°55'17.29""W",-2.538490312,2.503207422,2.11187035
SAMP786,Mexico,"19°10'30.01""N","100°55'17.29""W",-2.223936266,2.592561726,2.108695194
SAMP787,Mexico,"19°10'30.01""N","100°55'17.29""W",-2.508135576,1.652118989,-0.291257452
SAMP788,Mexico,19.0°10.00'30.01''N,99.0°4.00'42.71''W,-2.97582189,0.944038392,0.735747893
SAMP8,Kenya,0°15'27.88''N,34°45'03.98''E,-7.419623599,-1.357563098,-1.44677817
SAMP80,Seychelles,"4°26'24.1""S","55°13'32.8""E",-3.698775492,0.466081903,-2.374146529
SAMP81,Seychelles,"4°20'54.6""S","55°49'54.2""E",-2.973614928,0.854435779,-3.047132564
SAMP83,Seychelles,"4°20'59.2""S","55°49'55.6""E",-2.85939981,0.415236017,-3.338600787
SAMP835,Mexico,"19°12'59.28""N","100°56'5.00""W",-2.501004834,1.702745863,0.780842905
SAMP836,Mexico,"19°12'59.28""N","100°56'5.00""W",-1.280870468,0.971515726,0.674014105
SAMP837,Mexico,"19°12'59.28""N","100°56'5.00""W",-2.451365454,2.114813366,1.239891135
SAMP838,Mexico,"19°12'59.28""N","100°56'5.00""W",-0.943493844,1.019000457,1.266856216
SAMP839,Mexico,"19°12'59.28""N","100°56'5.00""W",0.052483049,0.111179111,0.38067295
SAMP840,Mexico,19.0°12.00'59.28''N,99.0°3.00'55.00''W,0.479538405,1.732844063,0.230859726
SAMP841,Mexico,19.0°12.00'59.28''N,99.0°3.00'55.00''W,-2.028527233,1.244161055,-0.292000211
SAMP842,Mexico,19.0°12.00'59.28''N,99.0°3.00'55.00''W,-2.127444328,1.439107857,1.279976298
SAMP85,Madagascar,21°11'19.21''S,47°09'25.58''E,-7.618458177,-0.672725399,-2.215201577
SAMP86,Madagascar,21°11'19.21''S,47°09'25.58''E,-7.746264088,-0.255626676,-2.057488519
SAMP87,Madagascar,21°15'32.61''S,47°10'01.74''E,-7.571056247,-0.835147512,-2.258740134
SAMP88,Madagascar,21°15'32.61''S,47°10'01.74''E,-7.373996392,-0.373316169,-1.853274765
SAMP885,Mexico,19.0°10.00'20.20''N,98.0°58.00'26.86''W,-3.186795433,0.254306237,1.461257517
SAMP887,Mexico,19°10’20.203”N,98°58’26.862”W,-2.450506468,1.224555427,0.211903475
SAMP889,Mexico,19°10’20.203”N,98°58’26.862”W,-1.319154396,1.582105105,3.271576239
SAMP89,Madagascar,21°15'16.95''S,47°09'25.58''E,-7.734303602,-0.68182452,-1.983480169
SAMP891,Mexico,19°10’20.203”N,98°58’26.862”W,-2.558936924,1.048644592,2.233490043
SAMP9,Kenya,0°16'42.80''N,34°29'14.34''E,-7.086712896,-1.199597813,-1.343564996
SAMP90,Madagascar,21°15'16.95''S,47°09'25.58''E,-7.874788124,-0.479430907,-2.223715806
SAMP91,Madagascar,21°10'46.70''S,47°10'40.48''E,-7.528314998,-0.647188206,-1.994304697
SAMP915,Mexico,19°14’43.327”N,98°58’29.328”W,0.423688643,1.233761636,-0.083039845
SAMP917,Mexico,19°14’43.327”N,98°58’29.328”W,-1.269108626,0.061730793,0.503439801
SAMP92,Madagascar,21°10'46.70''S,47°10'40.48''E,-7.499059947,-0.648126662,-2.160002043
SAMP920,Mexico,19°14’43.327”N,98°58’29.328”W,-1.63547892,0.219282977,-0.217163455
SAMP921,Mexico,19°14’43.327”N,98°58’29.328”W,-1.303278376,1.731985313,2.965534714
SAMP922,Mexico,19°14’43.327”N,98°58’29.328”W,-1.039245932,1.449796852,2.332899359
SAMP93,Madagascar,21°13'45.55''S,47°06'03.68''E,-7.325259004,-0.561420436,-1.719998
SAMP94,Madagascar,21°13'45.55''S,47°06'03.68''E,-6.908992253,-0.36058446,-1.848037011
SAMP97,Madagascar,21°11'51.40''S,47°09'59.49''E,-8.015319892,-0.872808457,-2.225931636
SAMP99,Madagascar,21°12'59.12''S,47°09'48.83''E,-8.229510775,-1.062408379,-2.221242178
